,Sentence,Technique
3737,Pedophile priests sell papers,Loaded_Language
3738,critically wrong,Loaded_Language
3741,violent predators,Loaded_Language
3744,deep sorrow,Loaded_Language
3745,shamelessly,Loaded_Language
3746,tragic,Loaded_Language
3747,disgust,Loaded_Language
3748,absolutely laughable,Loaded_Language
3749,abominable,Loaded_Language
3750,disconcerting,Loaded_Language
3751,totally,Loaded_Language
3752,pastoral carelessness,Loaded_Language
3754,tragic,Loaded_Language
3755,very grave,Loaded_Language
3756,disastrous,Loaded_Language
3757,most serious,Loaded_Language
3758,terribly disfigured,Loaded_Language
3759,greatly dismayed,Loaded_Language
3760,courageous and meritorious,Loaded_Language
3761,incredible,Loaded_Language
3762,dramatic,Loaded_Language
3763,very grave,Loaded_Language
3764,wicked,Loaded_Language
3765,deeply scandalized,Loaded_Language
3767,horrendous,Loaded_Language
3768,abominable crimes,Loaded_Language
3770,gravely immoral behavior,Loaded_Language
3771,destroy,Loaded_Language
3772,grave misdeeds,Loaded_Language
3773,aggressive,Loaded_Language
3774,unprecedented,Loaded_Language
3775,ostentatious arrogance,Loaded_Language
3776,disasters,Loaded_Language
3777,disastrous,Loaded_Language
3778,serial predator,Loaded_Language
3779,extremely grave,Hyperbole
3780,immoral behavior,Loaded_Language
3781,stained with sin,Loaded_Language
3782,sinful,Loaded_Language
3785,delighted screams of “Allahu akbar,Loaded_Language
3786,Allah willing,Loaded_Language
3787,"the “establishment of an Islamic state…requires the conquest of America, Britain, Russia, France, and Italy – Rome and other infidel lands will be conquered",Jingoism
3788,"After the laws of Allah were abandoned, and the heretic regimes were imposed on the Muslims, the most important thing to do is to restore the rule of the Muslims, through the Quran and the Sunna, in order to renew Islamic life and to deliver the Islamic message to the world. My brothers, the implication of this today should be the establishment of an Islamic state over all the lands of the Muslims",Jingoism
3789,a swipe at the Jews,Loaded_Language
3790,after the elimination of the filthy Jewish entity,Loaded_Language
3794,hijacking,Loaded_Language
3795,the explosive story,Loaded_Language
3796,astonishing and indeed providential development,Loaded_Language
3798,deeply scandalized by the abominable and sacrilegious behavior,Loaded_Language
3799,"emerges mountainously into view, never to be buried again",Loaded_Language
3802,puerile mockery,Loaded_Language
3803,their itching ears want to hear,Loaded_Language
3804,whose living guts they have hated from the moment of his election,Loaded_Language
3805,"I]f Cardinal Wuerl was unaware of the sanctions, and unaware of the reason for them, why did he ask no questions of the nuncio regarding the reason for his demand",Doubt
3808,homosexual debauchery,Loaded_Language
3812,to the bitter end,Loaded_Language
3814,thoroughly infested with homosexuals,Loaded_Language
3815,catastrophic compromise,Loaded_Language
3816,sounding the neo-Catholic air raid siren,Loaded_Language
3817,brazenly lies about it,Loaded_Language
3818,"If, as he now continues to state, he knew nothing of the abuses committed by McCarrick and the measures taken by Pope Benedict, how can his answer be explained",Doubt
3819,absolutely laughable,Loaded_Language
3820,lies shamelessly,Loaded_Language
3821,"the Church’s supreme pastor, who in the case of McCarrick not only did not oppose evil but associated himself in doing evil with someone he knew to be deeply corrupt",Doubt
3822,a Sisyphean task,Loaded_Language
3823,the ruinous “reforms,Loaded_Language
3824,"Ignoring eleven pages of detail, written and published under oath, he suggests there has been no “Documentation",Doubt
3826,"Too little, too late",Loaded_Language
3829,the Neo-Catholics Panic,Loaded_Language
3831,"who covered up homosexual rape committed by a priest against his own nephew,has supported “same-sex marriage,” and advised the King of Belgium to sign a law legalizing abortion in 1990",Doubt
3832,this indefectible truth,Hyperbole
3833,disfigured by so many ignominies,Loaded_Language
3834,"the grave, disconcerting and sinful conduct",Loaded_Language
3838,their active destruction of the Church,Loaded_Language
3839,encouraged the wolves to continue to tear apart the sheep,Loaded_Language
3840,extremely dramatic moment,Hyperbole
3842,debacle without equal in Church history,Hyperbole
3843,Yet there is little doubt they will continue the same polemic that for nearly sixty years has doggedly defended every one of the ruinous “reforms” that have resulted in a debacle without equal in Church history,Doubt
3844,cowed by,Loaded_Language
3846,to smear the man,Loaded_Language
3847,smeared,Loaded_Language
3848,"a trafficker in conspiracy theories who mixes fact, fiction and venom",Doubt
3849,wild claims,Loaded_Language
3850,its final extremity,Hyperbole
3852,with a large grain of salt,Loaded_Language
3853,he “has a history” of “innuendo and conspiracy theories,Doubt
3854,allegedly quashed,Loaded_Language
3855,the most insufferable of the neo-Catholic polemicists,Hyperbole
3856,a stunning concession coming from him,Hyperbole
3858,"if those people believe it, it can’t be true",Doubt
3860,smearing,Loaded_Language
3861,a summer of devastating news,Loaded_Language
3862,must be totally taken to heart,Hyperbole
3865,expects his readers to swallow his explanation,Loaded_Language
3868,the dreaded traditionalist revival,Loaded_Language
3869,a new bumper crop of homosexual ordinands,Loaded_Language
3870,a new harvest of scandal for the Church,Loaded_Language
3871,an explosive admission,Loaded_Language
3872,"The struggle, to the extent there even was one, obviously has been lost",Doubt
3873,phony honors,Loaded_Language
3874,"details conveniently ignored by Winters, Allen and Shea",Doubt
3875,utterly devastating,Hyperbole
3876,muttering in a barely comprehensible way,Loaded_Language
3877,perhaps made the mistake of sleeping in the same bed with some seminarians at his beach house,Hyperbole
3878,planned sellout,Loaded_Language
3880,very grave words of mine,Loaded_Language
3883,"united by a wicked pact of abuses by the first, and at least of coverup of abuses by the other two",Loaded_Language
3885,accelerated degeneration,Loaded_Language
3886,He is the very exemplar of the crisis we must still endure,Doubt
3888,vibrant Church,Loaded_Language
3890,"the men who control this establishment will never restore it to anything resembling the vibrant Church that a long line of militant, uncompromising Popes delivered into their hands at Vatican II",Doubt
3891,For heaven’s sake,Loaded_Language
3892,agonize over,Loaded_Language
3894,have laid waste,Loaded_Language
3897,their mindless applause,Loaded_Language
3899,repoint a brick or two in the crumbling façade they have erected to obscure the Church of old,Loaded_Language
3904,cancer of vilification,Loaded_Language
3906,the classic fox in charge of the hen house,Loaded_Language
3909,Any purge would empty parishes and religious orders of the thousands of priests and bishops,Hyperbole
3910,revels in smug certitude,Loaded_Language
3912,legions of intrinsically disordered homosexual bishops and priests,Hyperbole
3915,vanish into nowhere,Loaded_Language
3916,mired in financial corruption,Loaded_Language
3917,this withering assessment,Loaded_Language
3919,a chasm of abuses of power,Hyperbole
3920,has contributed mightily,Loaded_Language
3921,"From the seminaries, to the clergy, to the bishops, to the cardinals, homosexuals are present at all levels, by the thousand",Hyperbole
3922,endemic homosexual corruption,Loaded_Language
3924,"with the power of octopus tentacles, and strangle innocent victims and priestly vocations, and are strangling the entire Church",Loaded_Language
3925,screaming headline,Loaded_Language
3926,terrifying prospect,Loaded_Language
3927,fretted,Loaded_Language
3932,he has sacked,Loaded_Language
3936,under fire from the media,Loaded_Language
3937,an obscene “gay culture,Loaded_Language
3939,in hush money to bury sexual abuse claims,Loaded_Language
3940,maintaining a key bulwark against the “neo-traditionalist” threat,Loaded_Language
3941,sheds light on the darkness,Loaded_Language
3942,"However, he failed to acknowledge receipt of my two letters, contrary to what he customarily did",Doubt
3943,he put other seminarians at risk,Doubt
3944,"Better a thousand septuagenarian Wuerls in their lavish sties of corruption, financed by the faithful, than a single, young neo-traditionalist prelate",Hyperbole
3948,opened the way to ecclesial disaster,Loaded_Language
3949,demolition of the sacred liturgy,Loaded_Language
3950,in the depths of his conciliar delirium,Loaded_Language
3951,wave of affection and admiration flowed from the council over the modern world of humanity,Loaded_Language
3952,its aspirations purified and blessed,Loaded_Language
3956,a massive infestation by homosexual priests and prelates,Hyperbole
3957,the final beachhead of the neo-Catholic defense of their disintegrating regime,Loaded_Language
3959,a catastrophic failure in ecclesial innovation that has corrupted the human element of the Church in practically every department,Hyperbole
3961,his tyrannical reign,Loaded_Language
3962,to their horror,Loaded_Language
3964,"mount under this reckless Pope to an unsustainable, indeed apocalyptic, level",Hyperbole
3965,Irony of ironies,Loaded_Language
3967,of what is ever ancient but ever new,Loaded_Language
3969,irrevocably condemned,Loaded_Language
3970,stripped of its prophetic and admonitory content regarding the epochal malfeasance and corruption of the upper hierarchy,Loaded_Language
3971,the sufferings of the Church,Loaded_Language
3972,a really terrifying way,Loaded_Language
3973,"a deep need to relearn penance, to accept purification, to learn forgiveness",Loaded_Language
